name,price,rating,discount
Portable Foldable Electric Kettle Boiled Water Teakettle,"8,500",0,23%
"Crown Star Cordless Electric Kettle ,,,,","9,500",0,5%
Karnik Stainless Steel Premium Electric Kettle(2.2Litres),"9,950",0,0%
Saisho Trendy Fast Electric Jug,"10,500",4,0%
Russell Hobbs Inspire 1.7L Fast Boil Jug Kettle - 3000W - Grey,"26,999",0,10%
Crown Star Home Office Party Event Water Tea Coffe Electric Kettle Urn Dispenser - 20L,"49,500",0,45%
Bajaj 1.7 Litres Cordless Kettle Jug,"8,500",0,66%
Kinelco Stainless Steel Whistling Kettle-5.8Ltr,"17,500",0,0%
6 Litres Whistling Kettle,"6,500",0,0%
Eurosonic Stainless Steel Whistling Kettle - 5 Litres,"12,968",0,0%
1400W 5.2L 220V I Electric Air Fryer LCD Touch Screen Oil-Le,"197,009",0,50%
Binatone Strong Electric Jug 2 Litres - CEJ-2005 - Black,"18,000",0,18%
Swan Professional Stainless Steel Electric Water/Tea Urn 20L,"84,999",0,0%
Russell Hobbs 1.7 Litre Cordless Electric Jug Kettle 20415 - Black.,"16,999",5,0%
Kinelco 5.5 Litres Electric Kettle,"35,000",0,0%
"Tower 1.7 Litres Blue Illuminating Glass Jug - 3000W - Fast Boil - Stainless Steel Finish,","17,900",4,0%
Crown Star Cordless Electric Jug Kettle 2.2litres,"7,250",0,31%
Scanfrost Electric Kettle   – SFKAK 1701,"17,700",0,41%
Master Chef Large Electric Kettle/Tea Urn Hot Water Dispenser - 55Litres,"46,500",0,5%
Swan Professional Stainless Steel Electric Water/Tea Urn 10L,"87,999",0,3%
Scarlet Quality 2litres (FAST BOIL) Electric Kettle/jug,"5,999",1,0%
Professional Hair Trimmer Clipper Rechargeable  Electric,"8,919",0,50%
"Sainsbury'S Home Illuminating 1.7L Glass Jug Kettle,","15,000",0,0%
Kinelco 5.5 Litres Electric Kettle,"11,999",0,0%
Saisho Cordless Jug S401,"15,000",0,0%
WHISTLING STOVE KETTLE," - 7,990",0,36%
Breville Polished Stainless Steel Brita Filter Jug Kettle,"27,999",0,24%
"Russell Hobbs Buckingham Kettle,,","15,000",0,0%
8Inch Non-stick Flat Frying Pan For Gas / Induction Cooke,"14,879",0,50%
Russell Hobbs Inspire 1.7L Fast Boil Jug Kettle - 3000W - Red,"26,999",0,10%
Kinelco 5.2L Automatic Electric Kettle,"20,000",0,43%
Kinelco Whistling Kettle 5.8ltr,"12,000",0,14%
Home Portable D Carbon-steel Cordless Hair Clipper Shaving T,"20,779",0,50%
1L 150W/250W Portable Car Electric Heated Kettle Truck T 12V,"15,269",0,50%
Master Chef Electric Kettle-hot Water Dispenser - 55litres,"55,000",0,8%
1000W Portable Electric Space Heater Fan Warmer Home - White,"3,619",0,50%
Electric Water Boiling Kettle/Jug,"7,999",5,56%
1.8.L Kettle Stainless Steel Water Hotel Tea Pot  Silver 1.2,"10,439",0,50%
